PROMODS_PO,STM
KORTINE - GRAČIŠČE,2
BISTRICA(TRŽIČ) - ZVIRČE,3
KRNICA - ZG.RADOVNA,4
ZATRNIK - MRZLI STUDENEC,5
LJ (RUDNIK) - ŠKOFLJICA,6
MRZLI STUDENEC - JEREKA,7
MRZLI STUD. - RUDNO POLJE,8
JEREKA - JEZERO,9
LUCIJA -  SEČOVLJE,10
BERTOKI - KP(ŠKOCJAN),11
VOLČE - SOLARJI,12
IZOLA - JAGODJE,13
DRAGONJA - MP DRAGONJA,14
POBREŽJE - MB(TEZNO),15
PRIKLJ. PESNICA - MARIBOR,16
HOČE  - SLIVNICA,17
MB (KOR. MOST - C. PROLE. BRIGAD),18
MB (TRŽAŠKA) - MIKLAVŽ,19
MB AC - MIKLAVŽ,20
KOŠANA - KAL,21
RAZDRTO - SENOŽEČE,22
KOBJEGLAVA - ŠTANJEL,23
ŠTANJEL - DUTOVLJE,24
SENOŽEČE - ŠTORJE,25
ŠKOFLJICA - ŠMARJE SAP,26
TRATE - MOST ČEZ MURO,27
KRIŽ. SV.ANA - ZG.ŠČAVNICA,28
ZG.ŠČAVNICA - TRATE,29
ŽICE - SV. ANA-ZG. ŠČAVNICA,30
VELENJE - ŠKALE,31
ŠKALE - GRAŠKA  G.-ŠMIKLA,32
SL.GRADEC - MISL.DOBRAVA,33
SOTESKA - LETUŠ,34
GORENJE  -  REČICA,35
POLZELA - REČICA,36
PARIŽLJE - ŠENTRUPERT,37
FRAM - SL.BISTRICA,38
IDRSKO - LIVEK,39
POLZELA - DOBRTEŠA VAS,40
TUHINJ - LOČICA,41
M.SOBOTA - GORICA,42
MARTJANCI - SEBEBORCI,43
MARTJANCI - MORAVSKE TOPLICE,44
DOBROVNIK - RENKOVCI,45
VELIKA POLANA - LIPA-BELTINCI,46
VELIKA POLANA - LIPA-BELTINCI,46
HOTIZA - VELIKA POLANA,47
TEPANJE - SL.KONJICE,48
SL.KONJICE - DOBRAVA,49
POLICA - NAKLO(MARINŠEK),51
JEPRCA - MEDVODE,52
BRATONCI - DOKLEŽOVJE,53
STOB - TRZIN,54
PRIKLJ. TREBNJE Z - TREBNJE,55
DOBRAVA - STRANICE,56
SEŽANA - LIPICA,57
DIVAČA - FAMLJE,59
DRAVOGRAD - RADLJE,60
SELNICA - MB(OTOK),61
GORIŠNICA - ORMOŽ,62
ŠENTRUPERT - VRANSKO,64
PONDOR - TABOR,65
MOZIRJE - GOLTE,66
STRANICE - VIŠNJA VAS,67
VIŠNJA VAS - CELJE AC,68
MEDLOG - PETROVČE,69
ARJA VAS - ŽALEC,70
LOČICA - TROJANE,71
TROJANE - LUKOVICA,72
TRZIN - LJ(ČRNUČE),73
KALCE - LOGATEC,74
