STM,STM_lon,STM_lat,PROMODS_PO
2.0,13.8702458314692,45.5157143495946,KORTINE - GRAČIŠČE
3.0,14.2827006569709,46.3361569621774,BISTRICA(TRŽIČ) - ZVIRČE
4.0,14.0323488056581,46.3848990638899,KRNICA - ZG.RADOVNA
5.0,13.9870348928753,46.3492113042516,ZATRNIK - MRZLI STUDENEC
6.0,14.5618722896744,45.9940297351865,LJ (RUDNIK) - ŠKOFLJICA
7.0,13.9862122855745,46.3487271735926,MRZLI STUDENEC - JEREKA
8.0,13.9857846288902,46.3493711902965,MRZLI STUD. - RUDNO POLJE
9.0,13.9242429453275,46.2966524664663,JEREKA - JEZERO
10.0,13.6125593405668,45.4960877667921,LUCIJA -  SEČOVLJE
11.0,13.7610002413114,45.5461231622814,BERTOKI - KP(ŠKOCJAN)
12.0,13.7017665272142,46.1784861039144,VOLČE - SOLARJI
13.0,13.6445001070469,45.5258150652623,IZOLA - JAGODJE
14.0,13.6576444586547,45.4585437271592,DRAGONJA - MP DRAGONJA
15.0,15.6609639882238,46.5439450057467,POBREŽJE - MB(TEZNO)
16.0,15.6619705408844,46.5644700626607,PRIKLJ. PESNICA - MARIBOR
17.0,15.6519905546784,46.4948553749267,HOČE  - SLIVNICA
18.0,15.6274968520442,46.5623707565637,MB (KOR. MOST - C. PROLE. BRIGAD)
19.0,15.6783479223393,46.5232849721448,MB (TRŽAŠKA) - MIKLAVŽ
20.0,15.686801652942,46.5156319618002,MB AC - MIKLAVŽ
21.0,14.1399369693685,45.6685211338308,KOŠANA - KAL
22.0,14.0520064764071,45.7364113362475,RAZDRTO - SENOŽEČE
23.0,13.8349064002653,45.8199165117659,KOBJEGLAVA - ŠTANJEL
24.0,13.8350220757732,45.783448389231,ŠTANJEL - DUTOVLJE
25.0,13.9585029772852,45.7319634955652,SENOŽEČE - ŠTORJE
26.0,14.5766929731441,45.9837289147734,ŠKOFLJICA - ŠMARJE SAP
27.0,15.7866842550087,46.7046576816458,TRATE - MOST ČEZ MURO
28.0,15.8090939864465,46.660606113896,KRIŽ. SV.ANA - ZG.ŠČAVNICA
29.0,15.8073906431786,46.6620486572538,ZG.ŠČAVNICA - TRATE
30.0,15.8443507224645,46.6389204659568,ŽICE - SV. ANA-ZG. ŠČAVNICA
31.0,15.105041959664,46.3719397962635,VELENJE - ŠKALE
32.0,15.106859558917,46.4101128409822,ŠKALE - GRAŠKA  G.-ŠMIKLA
33.0,15.0835436812681,46.4721852093419,SL.GRADEC - MISL.DOBRAVA
34.0,15.0181037448371,46.318031973499,SOTESKA - LETUŠ
35.0,15.0129941516556,46.3423702121977,GORENJE  -  REČICA
36.0,15.0498073127503,46.3109591820736,POLZELA - REČICA
37.0,15.0705669365068,46.260824043672,PARIŽLJE - ŠENTRUPERT
38.0,15.6282634951642,46.4313166270256,FRAM - SL.BISTRICA
